1,Single_barline,Gclef,Rests1,Single_barline,Rests1,Single_barline,8_5,8_12,8_11,8_12,8_10,8_12,8_9,8_12,Single_barline,8_8,8_12,8_7,8_12,8_6,8_12,8_5,8_12,Single_barline,,,,,,,,,,,,,,,,,,,,,,,,
2,Single_barline,Fclef,8_1,8_8,8_12,8_10,8_13,8_10,8_12,8_10,Single_barline,8_1,8_8,8_12,8_10,8_13,8_10,8_12,8_10,Single_barline,8_1,8_8,8_12,8_10,8_14,8_10,8_12,8_10,Single_barline,8_-3,8_4,8_8,8_6,8_11,8_6,8_8,8_6,Single_barline,,,,,,,,,,
3,Single_barline,Gclef,8_4,8_11,8_10,8_11,8_9,8_11,8_8,8_11,Single_barline,8_7,8_11,8_6,8_11,8_5,8_11,8_4,8_11,Single_barline,8_3,8_10,8_9,8_10,8_8,8_10,8_7,8_10,Single_barline,8_6,8_10,8_5,8_10,8_4,8_10,8_3,8_10,Single_barline,4_10,Sharp,8_9,Sharp,8_8,4_9,dot,8_10,Single_barline,
4,Single_barline,Fclef,8_0,8_7,8_11,8_9,8_14,8_9,8_11,8_9,Single_barline,8_-4,8_3,8_7,8_5,8_10,8_5,8_7,8_5,Single_barline,8_0,8_6,8_10,8_8,8_13,8_8,8_10,8_8,Single_barline,8_-3,8_4,8_8,8_6,8_11,8_6,8_8,8_6,Single_barline,8_-2,8_5,8_9,Sharp,8_7,8_12,8_7,8_9,8_7,Single_barline
5,Single_barline,Gclef,1_10,Single_barline,8_12,8_5,8_6,8_5,8_7,8_5,8_8,8_5,Single_barline,8_9,8_5,8_10,8_5,8_11,8_5,8_12,8_5,Single_barline,8_4,8_5,8_4,8_6,8_4,8_7,Single_barline,8_8,8_4,8_9,8_4,8_10,8_4,8_11,8_4,Single_barline,,,,,,,,,,
6,Single_barline,Fclef,8_1,8_8,8_12,8_10,8_13,8_10,8_12,8_10,Single_barline,8_1,8_8,8_12,8_10,8_13,8_10,8_12,8_10,Single_barline,8_-3,8_3,8_8,8_6,8_11,8_6,8_8,8_6,Single_barline,8_0,8_7,8_11,8_9,8_14,8_9,8_11,8_9,Single_barline,8_-4,8_3,8_7,8_5,8_10,8_5,8_7,8_5,Single_barline,
8,Single_barline,Gclef,8_10,8_3,16_4,16_3,16_5,16_6,Single_barline,8_3,8_8,16_9,8_3,8_3,Single_barline,8_8,Single_barline,Single_barline,8_5,Single_barline,,Sharp,8_9,Sharp,4_9,dot,8_10,1_10,Gclef,8_12,8_11,8_12,8_10,8_12,8_9,8_12,,,,,,,,,,,,
9,Single_barline,Fclef,8_-1,8_6,8_10,8_8,8_13,8_8,8_10,8_8,Single_barline,8_-3,8_4,8_8,8_6,8_11,8_6,8_8,8_6,Single_barline,8_-2,8_5,8_9,Sharp,8_7,8_12,8_7,8_9,8_7,Single_barline,8_1,8_8,8_12,8_10,8_13,8_10,8_12,8_10,Single_barline,8_1,8_8,8_12,8_10,8_13,8_10,8_12,8_10,Single_barline
10,Single_barline,Gclef,8_8,8_12,8_7,8_12,8_6,8_12,8_5,8_12,Single_barline,8_4,8_11,8_10,8_11,8_9,8_11,8_8,8_11,Single_barline,8_7,8_11,8_6,8_11,8_5,8_11,8_4,8_11,Single_barline,8_3,8_10,8_9,8_10,8_8,8_10,8_7,8_10,Single_barline,,,,,,,,,,
11,Single_barline,Fclef,8_-3,8_4,8_8,8_6,8_11,8_6,8_8,8_6,Single_barline,8_0,8_7,8_11,8_9,8_14,8_9,8_11,8_9,Single_barline,8_-4,8_3,8_7,8_5,8_10,8_5,8_7,8_5,Single_barline,8_-1,8_6,8_10,8_8,8_13,8_8,8_10,8_8,Single_barline,,,,,,,,,,
